iter	RMSE
0	36.94854932
1	35.47439293
2	34.10331114
3	32.85270961
4	31.82499397
5	30.99260509
6	30.06575046
7	29.32191467
8	28.6387488
9	28.07705683
10	27.58212977
11	27.14916539
12	26.76485663
13	26.43781052
14	26.05775988
15	25.75690774
16	25.49214364
17	25.24276814
18	25.04027315
19	24.87262024
20	24.70324103
21	24.54318081
22	24.39710853
23	24.27855659
24	24.25629974
25	24.11156819
26	23.94684486
27	23.7615386
28	23.66007558
29	23.5634366
30	23.54261542
31	23.52264996
32	23.41768506
33	23.31123802
34	23.28950085
35	23.26736645
36	23.20268469
37	23.12709804
38	23.03721195
39	23.01896732
40	23.00172422
41	22.88809891
42	22.77678932
43	22.72546579
44	22.70891448
45	22.65897545
46	22.63289496
47	22.52345315
48	22.46232918
49	22.45202505
50	22.41555682
51	22.32045061
52	22.2501743
53	22.18803732
54	22.12663289
55	22.08659326
56	22.0668041
57	21.9974552
58	21.97309938
59	21.90486478
60	21.86196257
61	21.8553231
62	21.83765335
63	21.82662728
64	21.82067314
65	21.76457781
66	21.75835084
67	21.72168464
68	21.69878664
69	21.65679745
70	21.63459166
71	21.58549133
72	21.54052619
73	21.49549468
74	21.45777512
75	21.43234774
76	21.42709602
77	21.39154164
78	21.38277278
79	21.32331367
80	21.2508525
81	21.21034769
82	21.17324167
83	21.11309673
84	21.05037504
85	21.0131748
86	20.95179624
87	20.925745
88	20.86349191
89	20.81426328
90	20.75765097
91	20.72038845
92	20.68489311
93	20.68006495
94	20.63320176
95	20.58864049
96	20.559786
97	20.54521605
98	20.52753501
99	20.52280564
100	20.51806188
101	20.4739852
102	20.46955296
103	20.44789062
104	20.41138959
105	20.37385352
106	20.36838774
107	20.32374968
108	20.30481036
109	20.26415486
110	20.23751587
111	20.21677233
112	20.16765401
113	20.13612069
114	20.09614218
115	20.09106172
116	20.0631903
117	20.02989463
118	19.97360883
119	19.96944151
120	19.94570637
121	19.89215853
122	19.86183541
123	19.82962959
124	19.79140771
125	19.75967272
126	19.71455386
127	19.67335239
128	19.63685657
129	19.63101562
130	19.59869396
131	19.59584522
132	19.57296063
133	19.53277605
134	19.5068065
135	19.47116339
136	19.43953758
137	19.39839983
138	19.35747841
139	19.32354457
140	19.29244217
141	19.25506726
142	19.23315708
143	19.20326354
144	19.16773544
145	19.16513097
146	19.12933466
147	19.07978661
148	19.05125251
149	19.01343441
150	19.00076631
151	18.97236068
152	18.94102377
153	18.9040555
154	18.87559175
155	18.84603144
156	18.83882735
157	18.81030252
158	18.77006289
159	18.73662826
160	18.7045706
161	18.6730748
162	18.66956277
163	18.64071555
164	18.61833517
165	18.59180298
166	18.55672366
167	18.52274829
168	18.49011392
169	18.46320123
170	18.44576515
171	18.41656424
172	18.38084785
173	18.34816602
174	18.34653789
175	18.31286211
176	18.28370128
177	18.25177697
178	18.23701766
179	18.20719922
180	18.17299894
181	18.1444952
182	18.12343672
183	18.10055445
184	18.07805807
185	18.03989779
186	18.0174337
187	17.99693159
188	17.98032624
189	17.94806189
190	17.91830103
191	17.88360932
192	17.86124796
193	17.83574119
194	17.81037411
195	17.77551476
196	17.75390394
197	17.73473862
198	17.71183267
199	17.69642464
200	17.67492239
201	17.65235617
202	17.62978664
203	17.59711085
204	17.58029494
205	17.56142939
206	17.5222438
207	17.49876816
208	17.47587729
209	17.45284917
210	17.44283805
211	17.41840822
212	17.40648735
213	17.38740958
214	17.35949241
215	17.3463727
216	17.32745812
217	17.30381923
218	17.28837124
219	17.26700021
220	17.25073435
221	17.2493639
222	17.22375348
223	17.20623928
224	17.18186353
225	17.15409729
226	17.13421189
227	17.1209816
228	17.10042052
229	17.09630487
230	17.06881736
231	17.03795644
232	17.00919761
233	16.98637202
234	16.96043578
235	16.94086264
236	16.92709873
237	16.90146148
238	16.87524456
239	16.85908028
240	16.83449815
241	16.82600638
242	16.80459646
243	16.77689592
244	16.75565339
245	16.73416023
246	16.71576024
247	16.68799825
248	16.66987273
249	16.64616569
250	16.62292378
251	16.60496205
252	16.59250739
253	16.56843984
254	16.54222819
255	16.51936797
256	16.50468192
257	16.48641483
258	16.4634822
259	16.43446681
260	16.41765995
261	16.3955769
262	16.37821412
263	16.34740514
264	16.32814652
265	16.30872832
266	16.29400557
267	16.28329547
268	16.27132239
269	16.25701073
270	16.22887946
271	16.21235996
272	16.19105635
273	16.16523769
274	16.14186092
275	16.11444179
276	16.09713287
277	16.07278024
278	16.06216169
279	16.03860761
280	16.02222044
281	16.00979562
282	15.99218528
283	15.97629864
284	15.95198296
285	15.93110674
286	15.91244704
287	15.90995162
288	15.89528916
289	15.88163887
290	15.8644819
291	15.84748935
292	15.83616016
293	15.82233856
294	15.80082491
295	15.78133953
296	15.77108949
297	15.75380077
298	15.72716673
299	15.70183502
300	15.67304904
301	15.6609002
302	15.65975623
303	15.6303308
304	15.60211417
305	15.5901295
306	15.58008148
307	15.55482436
308	15.55307192
309	15.52916346
310	15.50268989
311	15.48176588
312	15.46525654
313	15.45107341
314	15.44998568
315	15.43136874
316	15.420551
317	15.40767041
318	15.38827226
319	15.36511833
320	15.35496173
321	15.33925001
322	15.31111112
323	15.28890086
324	15.27403693
325	15.26263994
326	15.24650907
327	15.2359392
328	15.22139309
329	15.20806231
330	15.18463249
331	15.17009968
332	15.15280476
333	15.13729624
334	15.12561106
335	15.11568754
336	15.10679642
337	15.09230399
338	15.08450262
339	15.06524092
340	15.03797886
341	15.02623768
342	15.02079919
343	15.00420887
344	15.00220573
345	14.97651988
346	14.96694916
347	14.93955003
348	14.92987682
349	14.91232948
350	14.90511699
351	14.89691898
352	14.88061199
353	14.85984003
354	14.84504757
355	14.82746057
356	14.81180336
357	14.80094636
358	14.77928782
359	14.7668132
360	14.75996504
361	14.7427329
362	14.7234474
363	14.7218318
364	14.70702791
365	14.6904274
366	14.68072783
367	14.6667606
368	14.65402544
369	14.64854495
370	14.631612
371	14.63064356
372	14.60787807
373	14.59438545
374	14.5795841
375	14.56369452
376	14.55167542
377	14.53759844
378	14.52809345
379	14.51016482
380	14.4934504
381	14.47565345
382	14.46989127
383	14.45066384
384	14.43269914
385	14.43181125
386	14.41863371
387	14.41778206
388	14.39802314
389	14.38377791
390	14.38262718
391	14.37781305
392	14.36980857
393	14.35962024
394	14.34642771
395	14.32861389
396	14.32185102
397	14.30729884
398	14.29996567
399	14.27524165
400	14.27015459
401	14.26027492
402	14.2425146
403	14.22795706
404	14.22003001
405	14.20724792
406	14.20115712
407	14.18813015
408	14.18103703
409	14.16323065
410	14.15058564
411	14.13386446
412	14.12752703
413	14.11236583
414	14.09671669
415	14.08690076
416	14.06794951
417	14.05553142
418	14.03758923
419	14.01914796
420	14.00324429
421	13.98507596
422	13.97461798
423	13.95465949
424	13.93909722
425	13.93072046
426	13.91823794
427	13.90526752
428	13.88671732
429	13.87261008
430	13.86010269
431	13.8520627
432	13.83380697
433	13.82285514
434	13.81971094
435	13.80276804
436	13.79301842
437	13.78386269
438	13.7655179
439	13.74923609
440	13.73192493
441	13.72355165
442	13.70915609
443	13.69626757
444	13.68619837
445	13.67360768
446	13.67182995
447	13.67023953
448	13.65837995
449	13.64741119
450	13.63074097
451	13.61709876
452	13.6058181
453	13.59274243
454	13.58035717
455	13.56515144
456	13.55878316
457	13.5464514
458	13.53427672
459	13.51775803
460	13.51081347
461	13.49622535
462	13.48835891
463	13.47363672
464	13.46791602
465	13.4542557
466	13.44495362
467	13.4320784
