iter	RMSE
0	36.96962468
1	35.49333492
2	34.11127352
3	32.88347551
4	31.85439513
5	31.0252194
6	30.16479257
7	29.42163935
8	28.74500932
9	28.16899211
10	27.67644743
11	27.23932948
12	26.8337512
13	26.50780619
14	26.12225446
15	25.88527828
16	25.62458411
17	25.35157768
18	25.10940474
19	24.93463841
20	24.66939985
21	24.45698031
22	24.32383493
23	24.20420907
24	24.18156709
25	24.0563357
26	23.93665004
27	23.80733135
28	23.69342797
29	23.64931034
30	23.63052924
31	23.60335494
32	23.51800563
33	23.4416726
34	23.42323824
35	23.40233582
36	23.33238441
37	23.25016349
38	23.13483831
39	23.11786188
40	23.0562373
41	22.99275864
42	22.8710884
43	22.83678353
44	22.75660702
45	22.73481515
46	22.65558528
47	22.63326689
48	22.60375824
49	22.54216989
50	22.532283
51	22.52473838
52	22.47614585
53	22.42809177
54	22.36707511
55	22.238068
56	22.22389563
57	22.15196967
58	22.10846667
59	22.02702807
60	21.98510581
61	21.94657389
62	21.88617685
63	21.85633331
64	21.78246003
65	21.71329303
66	21.67464143
67	21.66599927
68	21.65738979
69	21.61279128
70	21.5944184
71	21.53544631
72	21.48397236
73	21.45453914
74	21.42619947
75	21.40154151
76	21.39228106
77	21.38590508
78	21.37695622
79	21.34636515
80	21.29977456
81	21.24390346
82	21.20148201
83	21.13730305
84	21.0888003
85	21.07745631
86	21.02184436
87	20.98456136
88	20.95078348
89	20.89518692
90	20.84245387
91	20.80303019
92	20.75835144
93	20.71470476
94	20.6763455
95	20.64380917
96	20.60796259
97	20.56013627
98	20.55504208
99	20.51425019
100	20.50923393
101	20.438955
102	20.39811401
103	20.37395215
104	20.3269433
105	20.29166348
106	20.25498198
107	20.21383069
108	20.18270823
109	20.14211146
110	20.111923
111	20.10734579
112	20.08370064
113	20.0497496
114	20.01129852
115	19.97704878
116	19.960259
117	19.95383494
118	19.90081852
119	19.86835049
120	19.80981966
121	19.80590196
122	19.76086718
123	19.72778983
124	19.6933543
125	19.66084709
126	19.65744523
127	19.65421186
128	19.65041171
129	19.59814313
130	19.55430264
131	19.49829748
132	19.47290679
133	19.43342258
134	19.40942078
135	19.38496615
136	19.38139274
137	19.35492352
138	19.3203416
139	19.29316205
140	19.29050206
141	19.26748535
142	19.23516881
143	19.20713736
144	19.16502365
145	19.14415713
146	19.1090084
147	19.06613574
148	19.03727553
149	18.98294031
150	18.95729885
151	18.92078297
152	18.89804518
153	18.87334558
154	18.85137725
155	18.81277181
156	18.78253938
157	18.75798893
158	18.72765212
159	18.69864386
160	18.67574366
161	18.65694953
162	18.61175545
163	18.59510479
164	18.56159093
165	18.53164313
166	18.51451097
167	18.51265583
168	18.47266848
169	18.44078053
170	18.4106111
171	18.4087915
172	18.37498827
173	18.35257724
174	18.31824936
175	18.28419454
176	18.26411748
177	18.23998289
178	18.22310939
179	18.20222918
180	18.2004977
181	18.1822362
182	18.14620673
183	18.12129469
184	18.10460307
185	18.08094483
186	18.0630254
187	18.03458465
188	18.01587406
189	17.98470308
190	17.96180388
191	17.93295807
192	17.89969073
193	17.88371245
194	17.86237877
195	17.83887148
196	17.81844565
197	17.79730702
198	17.7738137
199	17.77179968
200	17.73840502
201	17.71727143
202	17.69599883
203	17.66848153
204	17.64572069
205	17.63224451
206	17.61770042
207	17.60005355
208	17.57322409
209	17.54757906
210	17.5239523
211	17.50853001
212	17.47518596
213	17.47173124
214	17.44168362
215	17.40707054
216	17.39531837
217	17.37792779
218	17.35425553
219	17.31681626
220	17.29728513
221	17.29586409
222	17.26328337
223	17.2422885
224	17.24101861
225	17.22335945
226	17.19856613
227	17.19739069
228	17.17913043
229	17.15683851
230	17.13276458
231	17.1198642
232	17.08944557
233	17.07779044
234	17.05691986
235	17.03025096
236	17.02720865
237	17.00008423
238	16.97969881
239	16.95984595
240	16.9453886
241	16.91562809
242	16.88835998
243	16.86875415
244	16.84001541
245	16.82312232
246	16.79871868
247	16.77746764
248	16.75998832
249	16.75877461
250	16.73471138
251	16.70742445
252	16.69431767
253	16.66659931
254	16.66543569
255	16.63742925
256	16.612168
257	16.58935322
258	16.5630736
259	16.54980244
260	16.54525357
261	16.52090705
262	16.5061878
263	16.48115925
264	16.47009004
265	16.45253637
266	16.44948585
267	16.42471847
268	16.40704533
269	16.37628065
270	16.36185281
271	16.339031
272	16.32986876
273	16.3155266
274	16.29691309
275	16.28097767
276	16.26498165
277	16.25592745
278	16.23371607
279	16.21796912
280	16.20667313
281	16.1943003
282	16.1793596
283	16.16807057
284	16.14904856
285	16.12163634
286	16.09717295
287	16.08632193
288	16.07289074
289	16.05700568
290	16.03106014
291	16.01374832
292	15.99011089
293	15.97804871
294	15.96675563
295	15.94525147
296	15.9217248
297	15.90252996
298	15.87881824
299	15.84957645
300	15.81998548
301	15.80454487
302	15.78014201
303	15.75539794
304	15.74027914
305	15.72448808
306	15.70872176
307	15.68641211
308	15.66819746
309	15.64322528
310	15.63991267
311	15.61785844
312	15.6091821
313	15.60104054
314	15.57926931
315	15.55157434
316	15.54046163
317	15.51400461
318	15.49918771
319	15.4798186
320	15.46180003
321	15.45223286
322	15.42738401
323	15.42031226
324	15.40162186
325	15.37773404
326	15.36277427
327	15.34655778
328	15.33255777
329	15.31385882
330	15.30847437
331	15.29269551
332	15.27949592
333	15.25798447
334	15.24396165
335	15.23267558
336	15.21543148
337	15.20450803
338	15.18376132
339	15.17442719
340	15.15744437
341	15.14372405
342	15.13273913
343	15.10913587
344	15.09420054
345	15.07436314
346	15.0595999
347	15.04666098
348	15.03052291
349	15.01940416
350	15.0121832
351	14.99781599
352	14.99535001
353	14.97763724
354	14.96312502
